PollutionNameCorrected;Authorised
clothianidin;No
fenamiphos;No
flazasulfuron;Yes
glufosinate;No
glyphosate;Yes
imidacloprid;No
isoproturon;No
"metamitron; desmedipham; ethofumesate; phenmedipham; chloridazon; quinmerac; dimethenamid--p; triflusulfuron-methyl; clopyralid";Yes
metham sodium;Yes
oxamyl;No
"propamocarb; glyphosate; pendimethalin; chlorpropham; prosulfocarb; metalaxyl-m; ethylene-bis-dithiocarbamate";Yes
"propyzamid; glyphosate";Yes
tefluthrin;Yes
1,3 - dichloropropene;No
chlorpyrifos;No
chloropicrin;No
